outcode,latitude,longitude
BN5,50.927402668965534,-0.2688668413793104
BN6,50.931473230273745,-0.15538411272141703
BN7,50.877527680481215,-0.0012222085561497352
BN8,50.917007645863535,0.05275200435413643
BN9,50.7956141493976,0.049867183132530093
BN10,50.796029378478636,0.0016072912801484223
BN11,50.81357381834695,-0.37700541326067455
BN12,50.81395175182482,-0.4294406218978105
BN13,50.83277912321657,-0.41164226199740617
BN14,50.83401791722303,-0.38210537249666204
BN15,50.830449819293484,-0.3254482554347828
BN16,50.81534522691569,-0.4949248644400784
BN17,50.81509574869115,-0.5400317945026181
BN18,50.84566406003433,-0.5905538765008571
BN20,50.774997596973854,0.25187236038514454
BN21,50.772794734978596,0.2764830836909877
BN22,50.78993162198066,0.2835033212560384
BN23,50.79765733042215,0.3126029519650659
BN24,50.81664165498652,0.32518496765498633
BN25,50.776570606334914,0.10860661425339345
BN26,50.821177746183245,0.22307424809160337
BN27,50.87193580088879,0.26340331733333294
BN41,50.841275892768,-0.21724480798005
BN42,50.837577493150675,-0.234698296803653
BN43,50.83606659238099,-0.2667175828571429
BN44,50.89093313636361,-0.32269169696969713
BN45,50.89664588095239,-0.1904262380952381
BN50,50.82632800000007,-0.14079100000000008
BN51,50.80481700000001,-0.05864500000000001
BN52,50.83440299999996,-0.16803499999999985
BN88,50.826840874999995,-0.13919625
BN91,,
BN95,50.823154,-0.330024
BN99,50.823418296875005,-0.34632739955357356
TN1,51.13466923750004,0.26653463499999996
TN2,51.13264467804869,0.28076327804878065
TN3,51.12082568430338,0.24825050440917082
TN4,51.145478563543044,0.2548589845956353
TN5,51.058693654501205,0.36551386861313856
TN6,51.0520406445221,0.17568595687645663
TN7,51.09639124489796,0.10202208163265308
TN8,51.195239933566455,0.07794625174825172
TN9,51.19160190458725,0.2744536220183487
TN10,51.212004290404074,0.28411332575757564
TN11,51.20722356345174,0.2649347952622674
TN12,51.17252475099756,0.44405553790901775
TN13,51.277034992527874,0.18360988418430882
TN14,51.298027151463,0.157161464716007
TN15,51.30277151636752,0.27465667793030607
TN16,51.29288301292401,0.05190668820678515
TN17,51.09615821289352,0.537281208395802
TN18,51.04244622636104,0.522502361031519
TN19,51.002861309782574,0.40596290217391323
TN20,51.01678013636363,0.2503250795454544
TN21,50.95807206197191,0.26306619014084526
TN22,50.981995307078776,0.10074323828514427
TN23,51.13964001531099,0.8561628258373195
TN24,51.14964193766234,0.8882635844155851
TN25,51.13986734523807,0.9382597539682536
TN26,51.095477091954045,0.797658295019157
TN27,51.16813561934473,0.6934696287051473
TN28,50.98291652999999,0.9505066366666659
